no_id;judul;author;penerbit;isBestSeller;original_rating;adjusted_rating;rating_count;review_count;genre;Unnamed: 10
476;Harlequin Koleksi Istimewa: Pengantin Keluarga Veranchetti (The Veranchetti Marriage);Lynne Graham;Gramedia Pustaka Utama;1.0;3.67;4.0;1661.0;;romance;
477;Harlequin Koleksi Istimewa: Ketika Cinta Bersemi (The Housekeeper's Awakening);Sharon Kendrick;Gramedia Pustaka Utama;1.0;3.36;3.0;377.0;;romance;
478;Harlequin Koleksi Istimewa: Meluluhkan Hati Sang Taipan (The Virgin's Debt to Pay);Abby Green;Gramedia Pustaka Utama;1.0;3.68;4.0;293.0;;romance;
479;Harlequin Koleksi istimewa: Rayuan Sang Playboy Yunani (Playing by the Greek's Rules);Sarah Morgan;Gramedia Pustaka Utama;1.0;3.96;4.0;1175.0;;romance;
480;Harlequin Koleksi Istimewa: Konflik Kepentingan (A Conflict of Interest);Barbara Dunlop;Gramedia Pustaka Utama;1.0;3.49;3.0;150.0;;novel;romance
481;Harlequin: Skandal Badai Salju - A Snowbound Scandal;Jessica Lemmon;Gramedia Pustaka Utama;1.0;3.84;4.0;293.0;;romance;
482;Harlequin Koleksi Istimewa: Mengusir Sepi sang Miliuner (Lone Star Lover);Jessica Lemmon;Gramedia Pustaka Utama;1.0;4.13;4.0;276.0;;fiksi_ilmiah;
483;Harlequin Koleksi Istimewa: Cinta Musim Dingin (A Christmas Proposition);Jessica Lemmon;Gramedia Pustaka Utama;1.0;4.06;4.0;240.0;;romance;
484;Harlequin Koleksi Istimewa: Pangeran Harimau (Tiger Prince);Sandra Brown;Gramedia Pustaka Utama;1.0;3.78;4.0;2618.0;;romance;
485;Harlequin Koleksi Istimewa: Janji Hari Esok (Tomorrow's Promise);Sandra Brown;Gramedia Pustaka Utama;1.0;3.75;4.0;3317.0;;romance;
486;Harlequin Koleksi Istimewa: Perjanjian Rahasia (A Secret Splendor);Sandra Brown;Gramedia Pustaka Utama;1.0;3.71;4.0;2600.0;;romance;
487;Harlequin Koleksi Istimewa: Terpukau (Spellbinding);Charlotte Lamb;Gramedia Pustaka Utama;1.0;3.38;3.0;211.0;;romance;
488;Harlequin Koleksi Istimewa: Istri Sang Taipan Italia (Married for Italian's Heir);Rachel Thomas;Gramedia Pustaka Utama;1.0;3.36;3.0;245.0;;romance;
